"utc_date","local_date","exp_id","exp_ver","id","prolific_id","browser","task","task_ver","gorilla_counterbalance","trial_row","rt","response","response_bin","confidence","recog_correct","attempt","accuracy","dishonest","display","counterbalance_order","list","quarter","event","event_name","condition","seq_pos","spatial_pos","recog_block","recog_stim","recog_cond"
"14/07/2021 19:52:51","14/07/2021 15:52:52",56975,3,4265819,"60d5d29541e3a5a148be906c","Chrome 91.0.4472.124","recognition",3,"SS5",4,1708.89999999851,"def_old","old","high","old",1,1,0,"recog_trial","SS5",8,4,3,"grocery store.png","pred",4,4,1,"guavaB.png","target"
"14/07/2021 19:52:53","14/07/2021 15:52:54",56975,3,4265819,"60d5d29541e3a5a148be906c","Chrome 91.0.4472.124","recognition",3,"SS5",5,773.300000000745,"def_old","old","high","old",1,1,0,"recog_trial","SS5",6,3,2,"grocery store.png","pred",2,4,1,"pieB.png","target"
"14/07/2021 19:52:56","14/07/2021 15:52:56",56975,3,4265819,"60d5d29541e3a5a148be906c","Chrome 91.0.4472.124","recognition",3,"SS5",6,1661.19999999925,"def_new","new","high","new",1,1,0,"recog_trial","SS5",5,3,1,"grocery store.png","pred",4,4,1,"cupcakeA.png","lure"
"14/07/2021 19:53:01","14/07/2021 15:53:01",56975,3,4265819,"60d5d29541e3a5a148be906c","Chrome 91.0.4472.124","recognition",3,"SS5",7,3923.40000000224,"def_old","old","high","old",1,1,0,"recog_trial","SS5",4,2,2,"pet store.png","rand",2,1,1,"squirrelB.png","target"
"14/07/2021 19:53:03","14/07/2021 15:53:03",56975,3,4265819,"60d5d29541e3a5a148be906c","Chrome 91.0.4472.124","recognition",3,"SS5",8,810.70000000298,"def_old","old","high","old",1,1,0,"recog_trial","SS5",1,1,2,"grocery store.png","pred",5,2,1,"celeryB.png","target"
"14/07/2021 19:53:10","14/07/2021 15:53:10",56975,3,4265819,"60d5d29541e3a5a148be906c","Chrome 91.0.4472.124","recognition",3,"SS5",9,6359.59999999776,"def_new","new","high","new",1,1,0,"recog_trial","SS5",7,4,2,"pet store.png","rand",1,2,1,"donkeyA.png","lure"
"14/07/2021 19:53:12","14/07/2021 15:53:13",56975,3,4265819,"60d5d29541e3a5a148be906c","Chrome 91.0.4472.124","recognition",3,"SS5",10,1356.30000000075,"def_old","old","high","new",1,0,0,"recog_trial","SS5",5,3,3,"pet store.png","rand",6,4,1,"zebraA.png","lure"
"14/07/2021 19:53:15","14/07/2021 15:53:15",56975,3,4265819,"60d5d29541e3a5a148be906c","Chrome 91.0.4472.124","recognition",3,"SS5",11,1606.70000000298,"def_new","new","high","new",1,1,0,"recog_trial","SS5",2,1,3,"grocery store.png","pred",2,4,1,"onionA.png","lure"
"14/07/2021 19:53:18","14/07/2021 15:53:18",56975,3,4265819,"60d5d29541e3a5a148be906c","Chrome 91.0.4472.124","recognition",3,"SS5",12,1950,"def_new","new","high","new",1,1,0,"recog_trial","SS5",6,3,1,"pet store.png","rand",5,4,1,"canadiangooseA.png","lure"
"14/07/2021 19:53:20","14/07/2021 15:53:21",56975,3,4265819,"60d5d29541e3a5a148be906c","Chrome 91.0.4472.124","recognition",3,"SS5",13,1156.90000000224,"def_old","old","high","old",1,1,0,"recog_trial","SS5",8,4,3,"grocery store.png","pred",3,3,1,"cantaloupeB.png","target"
